city_name,seismic_level,risk_percent
Villa Alemana,5, 
Talcahuano,5, 
Talcahuano,5, 
Talcahuano,5, 
Talcahuano,5, 
Santiago,5, 
San Fernando,5, 
San Fernando,5, 
Rancagua,5, 
Rancagua,5, 
Quillota,5, 
Punta Arenas,5, 
Penco,5, 
Melipilla,5, 
Melipilla,5, 
Lota,5, 
Los Ángeles,5, 
Los Ángeles,5, 
La Serena,5, 
La Serena,5, 
Iquique,5, 
Curicó,5, 
Coyhaique,5, 
Copiapó,5, 
Arica,5, 
Arica,5, 
Villa Alemana,5,99.75
Talcahuano,5,99.61
Colina,5,99.60
La Serena,5,99.32
Lota,5,98.69
Peñaflor,5,98.60
Penco,5,97.85
Melipilla,5,97.45
Concepción,5,97.22
Vallenar,5,96.86
Peñaflor,5,95.59
Angol,5,94.88
Angol,5,93.99
Villa Alemana,5,93.65
Antofagasta,5,93.33
Curicó,5,92.84
Linares,5,92.06
Valparaíso,5,91.76
Valparaíso,5,91.57
Curicó,5,91.38
Chillán,5,91.10
Iquique,5,90.82
Ovalle,5,89.95
Curanilahue,5,89.93
Talca,5,89.21
Coronel,5,89.14
Valparaíso,5,88.99
Quilpué,5,88.57
Talcahuano,5,88.48
Valparaíso,5,88.26
Concepción,5,88.09
Ovalle,5,86.85
Talcahuano,5,84.54
Linares,5,84.21
Ovalle,5,84.02
Curicó,5,83.77
Valdivia,5,83.74
Melipilla,5,82.22
San Fernando,5,82.08
Los Ángeles,5,82.05
Concepción,5,82.05
Talcahuano,5,81.65
Arica,5,81.60
Colina,5,80.52
Quilpué,5,79.29
Linares,5,78.95
Talca,5,78.79
Punta Arenas,5,78.75
Coronel,5,78.19
Penco,5,78.11
Peñaflor,5,77.81
Arica,5,77.54
Concepción,5,77.48
Talcahuano,5,74.62
Valdivia,5,73.98
Quilpué,5,73.24
Santiago,5,72.16
Peñaflor,5,71.82
Colina,5,71.36
Villa Alemana,5,70.40
Copiapó,5,70.03
Concepción,5,68.57
Curicó,5,68.46
San Fernando,5,68.45
Copiapó,5,68.40
Valdivia,5,67.89
Colina,5,65.69
Lota,5,64.87
Valdivia,5,63.03
San Fernando,5,62.89
Rancagua,5,62.73
Concepción,5,62.65
Ovalle,5,62.01
Copiapó,5,61.90
Melipilla,5,61.69
Talca,5,61.57
Curicó,5,61.24
Calama,5,61.05
Quillota,5,60.50
Quilpué,5,59.52
Osorno,5,59.49
Coyhaique,5,59.06
Curanilahue,5,58.44
Arica,5,58.36
Peñaflor,5,58.26
Santiago,5,57.62
Temuco,5,57.04
Concepción,5,56.27
Santiago,5,54.44
Ovalle,5,54.32
Penco,5,53.96
Melipilla,5,53.60
Curicó,5,52.36
Chillán,5,52.32
Coyhaique,5,51.53
Valparaíso,5,51.14
Melipilla,5,50.86
Osorno,5,50.85
San Fernando,5,50.51
Linares,5,49.80
Punta Arenas,5,49.70
Antofagasta,5,49.06
Santiago,5,48.96
Valdivia,5,48.94
Puerto Montt,5,47.67
Angol,5,47.61
Calama,5,44.97
Vallenar,5,43.61
Curicó,5,43.57
Antofagasta,5,43.14
Melipilla,5,42.71
Villa Alemana,5,42.07
Valparaíso,5,41.58
Valparaíso,5,41.45
Quillota,5,40.66
San Fernando,5,39.86
Osorno,5,38.80
Penco,5,37.40
Colina,5,37.38
Chillán,5,36.92
Ovalle,5,36.75
Punta Arenas,5,36.24
Talca,5,36.15
Penco,5,35.37
La Serena,5,35.15
Antofagasta,5,34.62
Ovalle,5,34.20
Santiago,5,33.82
Angol,5,33.71
Santiago,5,33.62
Ovalle,5,33.62
Arica,5,32.41
San Fernando,5,32.31
Lota,5,31.07
Rancagua,5,30.96
Santiago,5,30.29
Quilpué,5,28.07
